match_id,team,xg_for,xg_against
266653,Rayo Vallecano,1.301,3.61
266653,Barcelona,3.61,1.301
265944,Barcelona,4.722,0.411
265944,Sporting Gijón,0.411,4.722
265894,Málaga,1.095,2.132
265894,Barcelona,2.132,1.095
265958,Barcelona,2.927,0.488
265958,Espanyol,0.488,2.927
267611,Barcelona,2.092,0.691
267611,Las Palmas,0.691,2.092
267422,Barcelona,1.828,0.429
267422,Málaga,0.429,1.828
266236,Athletic Club,0.301,1.742
266236,Barcelona,1.742,0.301
267274,Valencia,0.477,1.326
267274,Barcelona,1.326,0.477
266961,Barcelona,1.041,0.987
266961,RC Deportivo La Coruña,0.987,1.041
266885,Barcelona,2.49,0.609
266885,Real Sociedad,0.609,2.49
266815,Sporting Gijón,0.57,2.363
266815,Barcelona,2.363,0.57
267506,Granada,0.509,2.419
267506,Barcelona,2.419,0.509
266664,Real Sociedad,0.427,1.174
266664,Barcelona,1.174,0.427
266106,Villarreal,1.27,1.776
266106,Barcelona,1.776,1.27
266670,Espanyol,0.226,1.01
266670,Barcelona,1.01,0.226
266149,Barcelona,2.818,1.089
266149,Athletic Club,1.089,2.818
266620,Barcelona,3.209,0.375
